"RefGroupSize","FocalGroupSize","nItems","prevRate","difRate","difType","balanced","aStrength","bStrength","rep","dif_items","method","TP_full","TN_full","FP_full","FN_full","accuracy_full","sensitivity_full","specificity_full","precision_full","npv_full","f1score_full","TP_focal","TN_focal","FP_focal","FN_focal","accuracy_focal","sensitivity_focal","specificity_focal","precision_focal","npv_focal","f1score_focal","TP_ref","TN_ref","FP_ref","FN_ref","accuracy_ref","sensitivity_ref","specificity_ref","precision_ref","npv_ref","f1score_ref","NA.","NA..1"
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,1,"50, 49, 56, 20, 78, 21, 7, 2, 68, 1, 8, 12, 73, 40, 43, 71, 26, 64, 53, 3, 48, 76, 52, 42, 37, 36, 65, 15, 6, 66, 39, 31","IRT",362,820,63,5,0.9456,0.928652321630804,0.986376021798365,0.993939393939394,0.928652321630804,0.960187353629977,"IRT",72,174,10,0,0.9609375,0.945652173913043,1,1,0.945652173913043,0.972067039106145,"IRT",290,646,53,5,0.941649899396378,0.924177396280401,0.983050847457627,0.992319508448541,0.924177396280401,0.957037037037037
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,1,"50, 49, 56, 20, 78, 21, 7, 2, 68, 1, 8, 12, 73, 40, 43, 71, 26, 64, 53, 3, 48, 76, 52, 42, 37, 36, 65, 15, 6, 66, 39, 31","rf_probs",0,324,559,367,0.2592,0.366930917327293,0,0.468885672937771,0.366930917327293,0.411689961880559,"rf_probs",0,67,117,72,0.26171875,0.364130434782609,0,0.482014388489209,0.364130434782609,0.414860681114551,"rf_probs",0,257,442,295,0.258551307847082,0.367668097281831,0,0.465579710144928,0.367668097281831,0.410871302957634
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,1,"50, 49, 56, 20, 78, 21, 7, 2, 68, 1, 8, 12, 73, 40, 43, 71, 26, 64, 53, 3, 48, 76, 52, 42, 37, 36, 65, 15, 6, 66, 39, 31","rf_class",350,856,27,17,0.9648,0.969422423556059,0.953678474114441,0.980526918671249,0.969422423556059,0.974943052391799,"rf_class",68,180,4,4,0.96875,0.978260869565217,0.944444444444444,0.978260869565217,0.978260869565217,0.978260869565217,"rf_class",282,676,23,13,0.963782696177062,0.967095851216023,0.955932203389831,0.981132075471698,0.967095851216023,0.974063400576369
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,2,"62, 52, 59, 32, 38, 13, 2, 71, 61, 11, 39, 6, 67, 80, 29, 79, 17, 27, 48, 12, 42, 41, 34, 10, 1, 15, 70, 50, 46, 77, 56, 24","IRT",356,841,31,22,0.9576,0.964449541284404,0.941798941798942,0.974507531865585,0.964449541284404,0.969452449567723,"IRT",74,166,5,15,0.923076923076923,0.970760233918129,0.831460674157303,0.917127071823204,0.970760233918129,0.943181818181818,"IRT",282,675,26,7,0.966666666666667,0.962910128388017,0.975778546712803,0.989736070381232,0.962910128388017,0.976138828633406
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,2,"62, 52, 59, 32, 38, 13, 2, 71, 61, 11, 39, 6, 67, 80, 29, 79, 17, 27, 48, 12, 42, 41, 34, 10, 1, 15, 70, 50, 46, 77, 56, 24","rf_probs",0,336,536,378,0.2688,0.385321100917431,0,0.470588235294118,0.385321100917431,0.423707440100883,"rf_probs",0,61,110,89,0.234615384615385,0.35672514619883,0,0.406666666666667,0.35672514619883,0.38006230529595,"rf_probs",0,275,426,289,0.277777777777778,0.392296718972896,0,0.48758865248227,0.392296718972896,0.434782608695652
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,2,"62, 52, 59, 32, 38, 13, 2, 71, 61, 11, 39, 6, 67, 80, 29, 79, 17, 27, 48, 12, 42, 41, 34, 10, 1, 15, 70, 50, 46, 77, 56, 24","rf_class",354,842,30,24,0.9568,0.965596330275229,0.936507936507937,0.972286374133949,0.965596330275229,0.968929804372842,"rf_class",81,168,3,8,0.957692307692308,0.982456140350877,0.910112359550562,0.954545454545455,0.982456140350877,0.968299711815562,"rf_class",273,674,27,16,0.956565656565657,0.961483594864479,0.944636678200692,0.976811594202899,0.961483594864479,0.969086987778576
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,3,"38, 54, 31, 65, 21, 10, 6, 32, 20, 43, 59, 75, 61, 22, 14, 26, 49, 36, 40, 9, 73, 15, 67, 46, 1, 4, 27, 62, 79, 60, 50, 28","IRT",363,828,40,19,0.9528,0.953917050691244,0.950261780104712,0.977567886658796,0.953917050691244,0.965597667638484,"IRT",74,159,2,10,0.951020408163265,0.987577639751553,0.880952380952381,0.940828402366864,0.987577639751553,0.963636363636364,"IRT",289,669,38,9,0.953233830845771,0.946251768033946,0.969798657718121,0.986725663716814,0.946251768033946,0.966064981949459
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,3,"38, 54, 31, 65, 21, 10, 6, 32, 20, 43, 59, 75, 61, 22, 14, 26, 49, 36, 40, 9, 73, 15, 67, 46, 1, 4, 27, 62, 79, 60, 50, 28","rf_probs",0,314,554,382,0.2512,0.361751152073733,0,0.451149425287356,0.361751152073733,0.40153452685422,"rf_probs",0,52,109,84,0.212244897959184,0.322981366459627,0,0.382352941176471,0.322981366459627,0.35016835016835,"rf_probs",0,262,445,298,0.260696517412935,0.370579915134371,0,0.467857142857143,0.370579915134371,0.413575374901342
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,3,"38, 54, 31, 65, 21, 10, 6, 32, 20, 43, 59, 75, 61, 22, 14, 26, 49, 36, 40, 9, 73, 15, 67, 46, 1, 4, 27, 62, 79, 60, 50, 28","rf_class",348,839,29,34,0.9496,0.966589861751152,0.910994764397906,0.961053837342497,0.966589861751152,0.963813900057438,"rf_class",69,161,0,15,0.938775510204082,1,0.821428571428571,0.914772727272727,1,0.955489614243323,"rf_class",279,678,29,19,0.952238805970149,0.958981612446959,0.936241610738255,0.972740315638451,0.958981612446959,0.965811965811966
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,4,"59, 79, 78, 42, 70, 17, 3, 28, 30, 65, 20, 63, 10, 7, 46, 77, 22, 2, 5, 35, 40, 74, 53, 64, 80, 58, 41, 57, 39, 49, 24, 12","IRT",357,828,51,14,0.948,0.9419795221843,0.962264150943396,0.983372921615202,0.9419795221843,0.962231260894829,"IRT",65,171,4,6,0.959349593495935,0.977142857142857,0.915492957746479,0.966101694915254,0.977142857142857,0.971590909090909,"IRT",292,657,47,8,0.945219123505976,0.933238636363636,0.973333333333333,0.98796992481203,0.933238636363636,0.959824689554419
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,4,"59, 79, 78, 42, 70, 17, 3, 28, 30, 65, 20, 63, 10, 7, 46, 77, 22, 2, 5, 35, 40, 74, 53, 64, 80, 58, 41, 57, 39, 49, 24, 12","rf_probs",0,302,577,371,0.2416,0.343572241183163,0,0.448736998514116,0.343572241183163,0.389175257731959,"rf_probs",0,50,125,71,0.203252032520325,0.285714285714286,0,0.413223140495868,0.285714285714286,0.337837837837838,"rf_probs",0,252,452,300,0.250996015936255,0.357954545454545,0,0.456521739130435,0.357954545454545,0.401273885350318
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,4,"59, 79, 78, 42, 70, 17, 3, 28, 30, 65, 20, 63, 10, 7, 46, 77, 22, 2, 5, 35, 40, 74, 53, 64, 80, 58, 41, 57, 39, 49, 24, 12","rf_class",349,845,34,22,0.9552,0.9613196814562,0.940700808625337,0.974625144175317,0.9613196814562,0.967926689576174,"rf_class",61,175,0,10,0.959349593495935,1,0.859154929577465,0.945945945945946,1,0.972222222222222,"rf_class",288,670,34,12,0.954183266932271,0.951704545454545,0.96,0.982404692082111,0.951704545454545,0.966810966810967
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,5,"68, 8, 26, 49, 73, 55, 52, 56, 28, 74, 7, 1, 42, 63, 69, 21, 13, 75, 32, 34, 31, 22, 44, 58, 61, 35, 6, 50, 67, 59, 19, 27","IRT",356,846,30,18,0.9616,0.965753424657534,0.951871657754011,0.979166666666667,0.965753424657534,0.972413793103448,"IRT",72,160,0,8,0.966666666666667,1,0.9,0.952380952380952,1,0.975609756097561,"IRT",284,686,30,10,0.96039603960396,0.958100558659218,0.965986394557823,0.985632183908046,0.958100558659218,0.971671388101983
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,5,"68, 8, 26, 49, 73, 55, 52, 56, 28, 74, 7, 1, 42, 63, 69, 21, 13, 75, 32, 34, 31, 22, 44, 58, 61, 35, 6, 50, 67, 59, 19, 27","rf_probs",0,263,613,374,0.2104,0.300228310502283,0,0.41287284144427,0.300228310502283,0.347653668208857,"rf_probs",0,38,122,80,0.158333333333333,0.2375,0,0.322033898305085,0.2375,0.273381294964029,"rf_probs",0,225,491,294,0.222772277227723,0.314245810055866,0,0.433526011560694,0.314245810055866,0.364372469635628
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,5,"68, 8, 26, 49, 73, 55, 52, 56, 28, 74, 7, 1, 42, 63, 69, 21, 13, 75, 32, 34, 31, 22, 44, 58, 61, 35, 6, 50, 67, 59, 19, 27","rf_class",343,847,29,31,0.952,0.96689497716895,0.917112299465241,0.964692482915718,0.96689497716895,0.965792474344356,"rf_class",71,160,0,9,0.9625,1,0.8875,0.946745562130177,1,0.972644376899696,"rf_class",272,687,29,22,0.949504950495049,0.959497206703911,0.925170068027211,0.968970380818054,0.959497206703911,0.964210526315789
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,6,"51, 54, 60, 71, 37, 70, 9, 76, 36, 27, 22, 74, 56, 2, 69, 66, 53, 12, 41, 33, 75, 39, 34, 17, 78, 8, 35, 21, 61, 46, 3, 57","IRT",372,839,25,14,0.9688,0.971064814814815,0.963730569948187,0.98358733880422,0.971064814814815,0.977285963890507,"IRT",57,190,0,2,0.991967871485944,1,0.966101694915254,0.989583333333333,1,0.994764397905759,"IRT",315,649,25,12,0.963036963036963,0.962908011869436,0.963302752293578,0.981845688350983,0.962908011869436,0.972284644194757
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,6,"51, 54, 60, 71, 37, 70, 9, 76, 36, 27, 22, 74, 56, 2, 69, 66, 53, 12, 41, 33, 75, 39, 34, 17, 78, 8, 35, 21, 61, 46, 3, 57","rf_probs",0,260,604,386,0.208,0.300925925925926,0,0.402476780185758,0.300925925925926,0.344370860927152,"rf_probs",0,38,152,59,0.152610441767068,0.2,0,0.391752577319588,0.2,0.264808362369338,"rf_probs",0,222,452,327,0.221778221778222,0.329376854599407,0,0.404371584699454,0.329376854599407,0.363041700735895
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,6,"51, 54, 60, 71, 37, 70, 9, 76, 36, 27, 22, 74, 56, 2, 69, 66, 53, 12, 41, 33, 75, 39, 34, 17, 78, 8, 35, 21, 61, 46, 3, 57","rf_class",362,840,24,24,0.9616,0.972222222222222,0.937823834196891,0.972222222222222,0.972222222222222,0.972222222222222,"rf_class",55,190,0,4,0.983935742971888,1,0.932203389830508,0.979381443298969,1,0.989583333333333,"rf_class",307,650,24,20,0.956043956043956,0.964391691394659,0.938837920489297,0.970149253731343,0.964391691394659,0.967261904761905
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,7,"75, 66, 56, 58, 73, 9, 55, 69, 51, 64, 61, 33, 25, 39, 74, 70, 47, 28, 22, 8, 11, 41, 14, 60, 21, 40, 37, 7, 43, 71, 23, 19","IRT",372,807,61,10,0.9432,0.929723502304147,0.973821989528796,0.987760097919217,0.929723502304147,0.957863501483679,"IRT",68,161,5,6,0.954166666666667,0.969879518072289,0.918918918918919,0.964071856287425,0.969879518072289,0.966966966966967,"IRT",304,646,56,4,0.940594059405941,0.92022792022792,0.987012987012987,0.993846153846154,0.92022792022792,0.955621301775148
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,7,"75, 66, 56, 58, 73, 9, 55, 69, 51, 64, 61, 33, 25, 39, 74, 70, 47, 28, 22, 8, 11, 41, 14, 60, 21, 40, 37, 7, 43, 71, 23, 19","rf_probs",0,300,568,382,0.24,0.345622119815668,0,0.439882697947214,0.345622119815668,0.387096774193548,"rf_probs",0,42,124,74,0.175,0.253012048192771,0,0.362068965517241,0.253012048192771,0.297872340425532,"rf_probs",0,258,444,308,0.255445544554455,0.367521367521368,0,0.45583038869258,0.367521367521368,0.406940063091483
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,7,"75, 66, 56, 58, 73, 9, 55, 69, 51, 64, 61, 33, 25, 39, 74, 70, 47, 28, 22, 8, 11, 41, 14, 60, 21, 40, 37, 7, 43, 71, 23, 19","rf_class",359,831,37,23,0.952,0.957373271889401,0.93979057591623,0.973067915690866,0.957373271889401,0.965156794425087,"rf_class",67,165,1,7,0.966666666666667,0.993975903614458,0.905405405405405,0.959302325581395,0.993975903614458,0.976331360946746,"rf_class",292,666,36,16,0.948514851485148,0.948717948717949,0.948051948051948,0.976539589442815,0.948717948717949,0.96242774566474
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,8,"46, 49, 2, 33, 65, 11, 14, 48, 69, 15, 71, 74, 54, 12, 64, 1, 37, 28, 41, 80, 13, 44, 68, 66, 5, 30, 59, 52, 63, 31, 6, 40","IRT",342,839,61,8,0.9448,0.932222222222222,0.977142857142857,0.990554899645809,0.932222222222222,0.960503720663995,"IRT",72,178,6,3,0.965250965250965,0.967391304347826,0.96,0.983425414364641,0.967391304347826,0.975342465753425,"IRT",270,661,55,5,0.939455095862765,0.923184357541899,0.981818181818182,0.992492492492492,0.923184357541899,0.956584659913169
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,8,"46, 49, 2, 33, 65, 11, 14, 48, 69, 15, 71, 74, 54, 12, 64, 1, 37, 28, 41, 80, 13, 44, 68, 66, 5, 30, 59, 52, 63, 31, 6, 40","rf_probs",0,330,570,350,0.264,0.366666666666667,0,0.485294117647059,0.366666666666667,0.417721518987342,"rf_probs",0,53,131,75,0.204633204633205,0.28804347826087,0,0.4140625,0.28804347826087,0.33974358974359,"rf_probs",0,277,439,275,0.279515640766902,0.386871508379888,0,0.501811594202899,0.386871508379888,0.436908517350158
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,8,"46, 49, 2, 33, 65, 11, 14, 48, 69, 15, 71, 74, 54, 12, 64, 1, 37, 28, 41, 80, 13, 44, 68, 66, 5, 30, 59, 52, 63, 31, 6, 40","rf_class",334,859,41,16,0.9544,0.954444444444444,0.954285714285714,0.981714285714286,0.954444444444444,0.967887323943662,"rf_class",70,182,2,5,0.972972972972973,0.989130434782609,0.933333333333333,0.973262032085562,0.989130434782609,0.981132075471698,"rf_class",264,677,39,11,0.949545913218971,0.945530726256983,0.96,0.984011627906977,0.945530726256983,0.964387464387464
2000,500,80,0.3,0.4,"both",TRUE,0.8,0.5,9,"53, 76, 2, 45, 73, 8, 22, 64, 29, 11, 3, 34, 80, 65, 31, 30, 39, 32, 10, 15, 37, 70, 14, 77, 69, 50, 5, 61, 16, 6, 72, 36","IRT",335,861,37,17,0.9568,0.958797327394209,0.951704545454545,0.980637813211845,0.958797327394209,0.969594594594595,"IRT",65,163,5,9,0.942148760330578,0.970238095238095,0.878378378378378,0.947674418604651,0.970238095238095,0.958823529411765,"IRT",270,698,32,8,0.96031746031746,0.956164383561644,0.971223021582734,0.988668555240793,0.956164383561644,0.972144846796657
